City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Broome,US,2022-02-27 16:38:58,42.2506,-75.833,33.44,73,9,15.3
1,Mahebourg,MU,2022-02-27 16:38:07,-20.4081,57.7,80.26,89,40,3.44
2,San Cristobal,VE,2022-02-27 16:38:59,7.7669,-72.225,84.79,43,78,3.31
3,Ushuaia,AR,2022-02-27 16:37:49,-54.8,-68.3,43.05,89,97,3.38
4,Lavrentiya,RU,2022-02-27 16:38:59,65.5833,-171.0,29.19,94,100,16.44
5,Mount Isa,AU,2022-02-27 16:38:59,-20.7333,139.5,83.97,32,8,6.91
6,Svetlogorsk,BY,2022-02-27 16:38:59,52.6333,29.7333,28.83,79,100,11.32
7,Liberty,US,2022-02-27 16:39:00,31.8335,-81.5004,70.59,74,100,5.08
8,Bluff,NZ,2022-02-27 16:37:46,-46.6,168.3333,45.63,83,51,5.73
9,Shenjiamen,CN,2022-02-27 16:39:00,29.9576,122.298,49.98,84,4,14.03
10,Cape Town,ZA,2022-02-27 16:34:03,-33.9258,18.4232,83.08,43,0,9.22
11,Novovasylivka,UA,2022-02-27 16:39:00,46.8315,35.7536,37.17,62,14,7.45
12,Bandarbeyla,SO,2022-02-27 16:39:00,9.4942,50.8122,77.52,74,12,16.37
13,East London,ZA,2022-02-27 16:39:01,-33.0153,27.9116,73.96,82,78,16.84
14,Butaritari,KI,2022-02-27 16:39:01,3.0707,172.7902,81.7,81,74,18.63
15,Albany,US,2022-02-27 16:33:38,42.6001,-73.9662,37.81,49,38,8.01
16,Castro,BR,2022-02-27 16:39:01,-24.7911,-50.0119,84.54,44,27,0.45
17,Sobolevo,RU,2022-02-27 16:39:02,54.4299,31.8996,15.06,95,51,5.61
18,Nome,US,2022-02-27 16:39:02,64.5011,-165.4064,30.27,93,100,13.8
19,Tuktoyaktuk,CA,2022-02-27 16:39:02,69.4541,-133.0374,-12.71,87,6,13.62
20,Jamestown,US,2022-02-27 16:34:06,42.097,-79.2353,30.34,83,16,18.45
21,Andenes,NO,2022-02-27 16:39:03,69.3143,16.1194,40.98,75,75,41.43
22,Tautira,PF,2022-02-27 16:39:03,-17.7333,-149.15,80.82,78,98,16.35
23,Urengoy,RU,2022-02-27 16:39:03,65.9667,78.3667,10.6,89,100,23.24
24,Anloga,GH,2022-02-27 16:39:03,5.7947,0.8973,82.49,80,24,15.3
25,Yangambi,CD,2022-02-27 16:39:04,0.8102,24.4336,75.52,77,92,2.46
