City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ahipara,NZ,63.88,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
1,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
2,Vaini,TO,73.56,fog,-21.2,-175.2,Keleti Beach Resort
3,Broken Hill,AU,73.11,broken clouds,-31.95,141.4333,Royal Exchange Hotel
5,Cidreira,BR,80.55,clear sky,-30.1811,-50.2056,Hotel Castelo
6,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
7,Ban Nahin,LA,76.69,clear sky,18.2418,104.2122,
8,Butaritari,KI,80.22,light rain,3.0707,172.7902,Isles Sunset Lodge
9,Rikitea,PF,79.93,clear sky,-23.1203,-134.9692,People ThankYou
10,Ihosy,MG,71.74,moderate rain,-22.4,46.1167,Hotely Sariaka
12,Cuamba,MZ,74.3,overcast clouds,-14.8031,36.5372,Hotel Vision
14,Pajapan,MX,73.94,broken clouds,18.25,-94.7,Hotel Del Carmen
16,Punta Arenas,CL,55.51,few clouds,-53.15,-70.9167,Hotel Hain
17,Santiago Del Estero,AR,88.34,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
18,Puerto Escondido,MX,84.18,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
19,Cabo San Lucas,MX,77.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
20,Hobart,AU,64.22,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
21,Hvide Sande,DK,50.05,few clouds,56.0045,8.1294,Hvide Sande Hotel
22,Beloha,MG,76.78,scattered clouds,-25.1667,45.05,
23,Dali,CN,47.16,clear sky,25.7,100.1833,Dali Travelling With Hostel
24,Castro,BR,77.16,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Ponta Do Sol,PT,67.12,broken clouds,32.6667,-17.1,Hotel do Campo
26,Fomboni,KM,79.79,moderate rain,-12.28,43.7425,Auberge les abou
27,Atuona,PF,78.42,clear sky,-9.8,-139.0333,Villa Enata
29,Ushuaia,AR,47.82,light rain,-54.8,-68.3,Albatross Hotel
30,Las Palmas,ES,65.19,few clouds,28.4204,-14.0131,Casillas De Morales 59.
31,Sibolga,ID,78.76,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
32,Lithakia,GR,54.77,scattered clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
34,Gijon,ES,52.84,overcast clouds,43.5357,-5.6615,Hotel Norte
36,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hotel San Juan
37,Caravelas,BR,87.93,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
38,Coruripe,BR,87.57,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
39,Mercedes,AR,82.85,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
40,Busselton,AU,56.05,clear sky,-33.65,115.3333,Observatory Guest House
41,Port Alfred,ZA,74.55,clear sky,-33.5906,26.891,The Halyards Hotel
43,Kaitangata,NZ,53.42,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
44,Victoria,HK,69.94,broken clouds,22.2855,114.1577,Mini Hotel Central
46,Hithadhoo,MV,83.28,few clouds,-0.6,73.0833,Scoop Guest House
49,Hamilton,US,42.44,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
50,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
52,Praia Da Vitoria,PT,62.76,broken clouds,38.7333,-27.0667,Hotel Branco I
53,Tabas,IR,70.88,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
55,Inhambane,MZ,77.95,clear sky,-23.865,35.3833,Oceano
56,Avera,US,77.7,clear sky,33.194,-82.5271,
59,Puerto Ayora,EC,79.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Constitucion,CL,69.03,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
64,Port Lincoln,AU,65.82,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
66,Saint-Georges,GD,80.55,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
67,Ewa Beach,US,72.7,clear sky,21.3156,-158.0072,Base Lodging
68,Bethel,US,41.92,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
70,Ubata,BR,91.4,heavy intensity rain,-14.2139,-39.5228,Pousada Caique
71,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
72,Hermanus,ZA,69.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
73,Huilong,CN,54.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
74,Cape Town,ZA,72.09,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
77,Matara,LK,79.07,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
79,La Libertad,EC,75.02,light rain,-2.2333,-80.9,Playa Canela Hotel Boutique
82,Los Chiles,CR,83.39,overcast clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
85,Pisco,PE,78.03,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
87,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
90,Arraial Do Cabo,BR,80.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
91,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
94,Bonfim,BR,85.71,overcast clouds,3.0833,-59.95,
95,Chake Chake,TZ,79.99,overcast clouds,-5.2459,39.7666,Hotel Archipelago
96,Nguruka,TZ,70.11,moderate rain,-5.1092,31.0419,RUSULI LODGE
97,Auki,SB,76.93,overcast clouds,-8.7676,160.7034,Auki Motel
98,Salalah,OM,76.26,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
99,New Norfolk,AU,62.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
100,Algiers,DZ,60.62,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
101,Gat,IL,57.88,few clouds,31.61,34.7642,OlusHome
103,Hofn,IS,41.02,few clouds,64.2539,-15.2082,Hótel Höfn
104,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
106,Cortez,US,55.71,overcast clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
107,Abu Zabad,SD,94.41,few clouds,12.35,29.25,حامد محمد نور
108,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
109,Santa Isabel Do Rio Negro,BR,85.42,overcast clouds,-0.4139,-65.0192,Hotel GSA
110,Ancud,CL,56.43,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
111,Badarwas,IN,72.43,clear sky,24.9667,77.5667,योगराज मोटर्स
112,Chester,US,44.02,clear sky,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
113,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
115,Akdepe,TM,59.0,scattered clouds,42.0551,59.3788,
116,Dwarka,IN,77.14,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
119,Paredon,MX,86.7,clear sky,16.0333,-93.8667,Hotel Principal Paredon
120,Manta,EC,79.21,light rain,-0.95,-80.7333,Balandra Hotel
121,Wanlaweyn,SO,85.42,broken clouds,2.6185,44.8938,GAASHAAN HOME
123,Lebu,CL,63.81,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
124,Necochea,AR,81.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
125,Carnarvon,AU,79.95,clear sky,-24.8667,113.6333,Hospitality Carnarvon
127,Ambulu,ID,76.71,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
130,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
132,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
133,Diego De Almagro,CL,79.3,clear sky,-26.3667,-70.05,hotel luna del desierto
134,Vetlanda,SE,42.67,few clouds,57.4289,15.0776,Best Western Vetlanda Stadshotell
135,Cockburn Town,TC,78.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
136,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
137,Nazret,ET,73.44,broken clouds,8.55,39.2667,Liben Guesthouse
138,Yangshan,CN,58.93,overcast clouds,28.7615,115.0287,
139,Bokoro,TD,100.29,broken clouds,12.3807,17.0568,
140,Norwich,GB,54.21,overcast clouds,52.6278,1.2983,Holiday Inn Norwich City
141,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
142,Marsh Harbour,BS,73.45,clear sky,26.5412,-77.0636,Abaco Beach Resort
143,Airai,TL,61.32,scattered clouds,-8.9266,125.4092,
144,San Francisco,US,53.83,overcast clouds,37.7749,-122.4194,Edwardian Hotel
146,Santa Cruz,BO,82.45,light rain,-17.8,-63.1667,Aviador Hotel Boutique
147,Ilorin,NG,85.39,light rain,8.5,4.55,SITY INN
148,Bredasdorp,ZA,68.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
150,Nouadhibou,MR,65.68,clear sky,20.931,-17.0347,El Medina
151,Adrar,MR,80.64,clear sky,20.5022,-10.0711,
152,Riyadh,SA,80.58,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
153,Dingle,PH,75.45,clear sky,10.9995,122.6711,SEGAYA PROPERTY
154,Puerto El Triunfo,SV,88.34,clear sky,13.2833,-88.55,Hotel Jardin
155,Kapaa,US,73.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
157,Kruisfontein,ZA,72.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
159,Bambanglipuro,ID,79.34,light rain,-7.95,110.2833,Puri Brata
160,Saldanha,ZA,66.7,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
162,Araouane,ML,83.84,broken clouds,18.9048,-3.5265,
163,Araceli,PH,81.23,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
164,Yaan,NG,102.04,few clouds,7.3833,8.5667,
165,Flinders,AU,72.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
166,Mkushi,ZM,68.32,light rain,-13.6202,29.3939,Mkushi Police Club
167,Barra Patuca,HN,79.32,few clouds,15.8,-84.2833,
168,Rio Gallegos,AR,54.46,light rain,-51.6226,-69.2181,Hotel Santa Cruz
169,Perth,AU,66.67,clear sky,-31.9333,115.8333,Quest on Rheola
170,Marigot,MF,82.04,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
172,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
173,Kavaratti,IN,82.47,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
174,Sao Joao Da Barra,BR,81.81,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
175,Praia,CV,79.34,haze,14.9215,-23.5087,LT Aparthotel
179,Humaita,BR,87.4,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
180,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
183,Hilo,US,73.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
185,San Jeronimo,PE,56.73,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
186,East London,ZA,76.19,scattered clouds,-33.0153,27.9116,Tu Casa
187,Surin,TH,86.92,clear sky,14.8818,103.4936,One Fu Hotel
188,Juegang,CN,51.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
189,Waingapu,ID,79.11,clear sky,-9.6567,120.2641,Pondok Wisata Elim
190,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
191,Aden,YE,78.94,clear sky,12.7794,45.0367,Sama Emirate Hotel
194,Beberibe,BR,87.84,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
195,Suez,EG,65.12,clear sky,29.9737,32.5263,Green House
197,Fukue,JP,51.75,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
198,Lompoc,US,63.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
