City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahipara,NZ,-35.1667,173.1667,63.88,74,35,11.52,scattered clouds
1,Port Elizabeth,ZA,-33.918,25.5701,75.09,83,20,13.8,few clouds
2,Vaini,TO,-21.2,-175.2,73.56,100,40,1.14,fog
3,Broken Hill,AU,-31.95,141.4333,73.11,64,83,4.61,broken clouds
4,Burgeo,CA,47.6167,-57.6152,25.47,67,88,17.72,overcast clouds
5,Cidreira,BR,-30.1811,-50.2056,80.55,65,2,9.08,clear sky
6,San Cristobal,VE,7.7669,-72.225,75.38,48,82,5.53,broken clouds
7,Ban Nahin,LA,18.2418,104.2122,76.69,53,0,3.44,clear sky
8,Butaritari,KI,3.0707,172.7902,80.22,83,100,11.12,light rain
9,Rikitea,PF,-23.1203,-134.9692,79.93,72,0,20.94,clear sky
10,Ihosy,MG,-22.4,46.1167,71.74,91,48,4.94,moderate rain
11,Deer Lake,CA,49.1667,-57.4316,24.66,68,100,16.11,overcast clouds
12,Cuamba,MZ,-14.8031,36.5372,74.3,78,95,3.44,overcast clouds
13,Olafsvik,IS,64.8945,-23.7142,39.45,68,88,16.33,overcast clouds
14,Pajapan,MX,18.25,-94.7,73.94,78,63,6.26,broken clouds
15,Vilyuysk,RU,63.7553,121.6247,-15.84,100,97,4.94,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,55.51,54,20,18.41,few clouds
17,Santiago Del Estero,AR,-27.7951,-64.2615,88.34,51,84,8.68,broken clouds
18,Puerto Escondido,MX,15.85,-97.0667,84.18,49,0,4.41,clear sky
19,Cabo San Lucas,MX,22.8909,-109.9124,77.5,30,64,3.36,broken clouds
20,Hobart,AU,-42.8794,147.3294,64.22,86,81,6.91,broken clouds
21,Hvide Sande,DK,56.0045,8.1294,50.05,71,20,10.36,few clouds
22,Beloha,MG,-25.1667,45.05,76.78,82,48,13.15,scattered clouds
23,Dali,CN,25.7,100.1833,47.16,41,6,5.26,clear sky
24,Castro,BR,-24.7911,-50.0119,77.16,66,99,6.24,overcast clouds
25,Ponta Do Sol,PT,32.6667,-17.1,67.12,63,82,4.99,broken clouds
26,Fomboni,KM,-12.28,43.7425,79.79,84,100,19.55,moderate rain
27,Atuona,PF,-9.8,-139.0333,78.42,73,6,23.8,clear sky
28,Turukhansk,RU,65.8167,87.9833,-15.97,100,79,6.13,broken clouds
29,Ushuaia,AR,-54.8,-68.3,47.82,75,100,1.59,light rain
30,Las Palmas,ES,28.4204,-14.0131,65.19,64,20,17.27,few clouds
31,Sibolga,ID,1.7427,98.7792,78.76,81,100,3.22,moderate rain
32,Lithakia,GR,37.7167,20.8333,54.77,62,40,8.05,scattered clouds
33,Albany,US,42.6001,-73.9662,33.75,54,35,5.99,scattered clouds
34,Gijon,ES,43.5357,-5.6615,52.84,81,100,11.01,overcast clouds
35,Sirvintos,LT,55.05,24.95,36.95,80,68,5.93,broken clouds
36,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,8.05,clear sky
37,Caravelas,BR,-17.7125,-39.2481,87.93,55,71,8.72,broken clouds
38,Coruripe,BR,-10.1256,-36.1756,87.57,58,19,11.97,few clouds
39,Mercedes,AR,-34.6515,-59.4307,82.85,43,34,7.49,scattered clouds
40,Busselton,AU,-33.65,115.3333,56.05,84,0,10.94,clear sky
41,Port Alfred,ZA,-33.5906,26.891,74.55,71,9,10.25,clear sky
42,Dikson,RU,73.5069,80.5464,-4.31,94,100,10.65,overcast clouds
43,Kaitangata,NZ,-46.2817,169.8464,53.42,97,100,4.88,overcast clouds
44,Victoria,HK,22.2855,114.1577,69.94,87,76,5.01,broken clouds
45,Clyde River,CA,70.4692,-68.5914,5.23,78,100,24.16,overcast clouds
46,Hithadhoo,MV,-0.6,73.0833,83.28,70,18,8.05,few clouds
47,College,US,64.8569,-147.8028,1.09,76,99,3.6,overcast clouds
48,Suntar,RU,62.1444,117.6319,-6.18,100,93,1.48,overcast clouds
49,Hamilton,US,39.1834,-84.5333,42.44,75,71,1.99,broken clouds
